login,pokemon,coordinates,date,timestamp
admin,Machoke,"[31.445398005630054, 5.634905916753981]",2022-11-16 03:48:59,2022-11-16 03:48:59
admin,Machop,"[3.586566583915727, 1.8700806450660623]",2022-11-03 07:10:00,2022-11-03 07:10:00
admin,Dugtrio,"[1.6634107155798095, 5.776035778221535]",2022-11-21 09:42:58,2022-11-21 09:42:58
admin,Tauros,"[0.2009863621576402, 9.941813707933967]",2022-11-03 00:54:15,2022-11-03 00:54:15
admin,Snorlax,"[26.972490904133043, 9.957007342171252]",2022-11-04 06:05:15,2022-11-04 06:05:15
admin,Mankey,"[38.04000913626969, 8.57313267355103]",2022-11-08 15:51:35,2022-11-08 15:51:35
admin,Electrode,"[21.983776955090324, 0.22512059009943575]",2022-11-13 06:22:49,2022-11-13 06:22:49
admin,Exeggcute,"[35.29859641052892, 7.154676024593956]",2022-11-08 14:39:39,2022-11-08 14:39:39
admin,Weedle,"[35.03967606802652, 1.2637612636906115]",2022-11-22 06:50:03,2022-11-22 06:50:03
admin,Venonat,"[10.284280337874856, 8.131837232960763]",2022-11-24 08:57:45,2022-11-24 08:57:45
admin,Fearow,"[16.077224565073767, 7.457573382363931]",2022-11-15 18:23:36,2022-11-15 18:23:36
admin,Omanyte,"[10.411488304598908, 6.341561499814487]",2022-11-11 12:51:00,2022-11-11 12:51:00
admin,Mr. Mime,"[14.004459662983972, 2.4462477042614728]",2022-11-19 04:09:11,2022-11-19 04:09:11
admin,Articuno,"[31.579489094509587, 0.36864263812350195]",2022-11-08 12:43:00,2022-11-08 12:43:00
admin,Articuno,"[39.45578479676659, 3.902087803425447]",2022-11-11 15:31:01,2022-11-11 15:31:01
admin,Articuno,"[27.157517524622712, 3.715325799226865]",2022-11-18 06:31:43,2022-11-18 06:31:43
admin,Lickitung,"[30.221131463264527, 6.990202133741288]",2022-11-24 13:02:38,2022-11-24 13:02:38
admin,Charmeleon,"[1.3374632894703442, 8.839749473410937]",2022-11-17 03:35:07,2022-11-17 03:35:07
admin,Krabby,"[35.34973520494862, 1.5028971264479074]",2022-11-11 07:45:47,2022-11-11 07:45:47
admin,Gloom,"[13.474982726384358, 8.047377473760394]",2022-11-08 16:56:08,2022-11-08 16:56:08
admin,Nidoking,"[9.719216127515317, 7.190498902165428]",2022-11-22 06:56:49,2022-11-22 06:56:49
admin,Jynx,"[0.48215355998211695, 5.401009788016728]",2022-11-17 10:00:00,2022-11-17 10:00:00
admin,Jynx,"[30.893519138828168, 8.2780122772668]",2022-11-09 14:46:39,2022-11-09 14:46:39
admin,Kakuna,"[24.208457173765538, 1.9507721671594591]",2022-11-10 01:40:52,2022-11-10 01:40:52
admin,Onix,"[6.147366073506535, 4.507213079558712]",2022-11-28 13:36:47,2022-11-28 13:36:47
admin,Jynx,"[2.097245975870865, 7.245570130794827]",2022-11-08 02:47:03,2022-11-08 02:47:03
admin,Marowak,"[33.77471424112477, 0.8911686696292909]",2022-11-11 15:20:23,2022-11-11 15:20:23
admin,Zapdos,"[39.77535103003635, 1.8132532779656674]",2022-11-04 11:01:36,2022-11-04 11:01:36
admin,Alakazam,"[13.875446747283519, 6.14279531708128]",2022-11-13 12:20:30,2022-11-13 12:20:30
admin,Slowpoke,"[29.900492519265775, 9.79318434728133]",2022-12-01 02:57:49,2022-12-01 02:57:49
admin,Zubat,"[16.81057591430871, 7.800972002302769]",2022-11-24 12:26:05,2022-11-24 12:26:05
admin,Pidgeot,"[10.909187074734628, 2.8269522443474013]",2022-11-05 04:36:09,2022-11-05 04:36:09
admin,Dratini,"[13.433465891832995, 7.358845723340009]",2022-11-30 08:02:17,2022-11-30 08:02:17
admin,Metapod,"[23.251337152916754, 3.619901635461562]",2022-11-19 22:38:34,2022-11-19 22:38:34
admin,Kabutops,"[39.814433030513385, 8.092220438401348]",2022-11-06 05:15:19,2022-11-06 05:15:19
admin,Electrode,"[29.382059926848285, 3.982025620459173]",2022-11-05 16:44:02,2022-11-05 16:44:02
admin,Wigglytuff,"[10.44921273787959, 4.16222896960959]",2022-11-23 19:49:16,2022-11-23 19:49:16
admin,Persian,"[33.6478912719958, 4.850265355979139]",2022-11-24 01:45:57,2022-11-24 01:45:57
admin,Hypno,"[2.1398148072313905, 9.843080207241306]",2022-11-19 05:25:58,2022-11-19 05:25:58
admin,Dragonair,"[7.289428040681618, 3.9257589063363896]",2022-11-19 17:54:43,2022-11-19 17:54:43
admin,Seadra,"[17.669733888499483, 6.124409475581105]",2022-11-14 16:20:37,2022-11-14 16:20:37
admin,Tauros,"[10.251176051667738, 2.662113965564208]",2022-12-01 09:16:45,2022-12-01 09:16:45
admin,Electrode,"[31.92503314062078, 7.415842717435105]",2022-11-14 07:28:57,2022-11-14 07:28:57
admin,Oddish,"[15.66571270709574, 5.220351901527827]",2022-11-08 04:43:26,2022-11-08 04:43:26
